 ***Ebeam    Eprime  Theta     x        Q2      Sig_Born     Sig_Born_In  Sig_Born_QE  Sig_Rad      Sig_Rad_EL   Sig_Rad_QE   Sig_Rad_DIS  C_cor
   10.5400   3.6290  12.9503   0.1500   1.9458  0.11470E+04  0.11469E+04  0.17702E+00  0.15098E+04  0.42719E+00  0.45093E+02  0.14643E+04  0.10006E+01
   10.5400   3.2510  14.0586   0.1501   2.0527  0.82236E+03  0.82224E+03  0.11266E+00  0.11256E+04  0.39040E+00  0.40245E+02  0.10850E+04  0.10007E+01
   10.5400   2.8510  15.4240   0.1500   2.1645  0.57540E+03  0.57533E+03  0.70134E-01  0.82883E+03  0.35996E+00  0.36874E+02  0.79159E+03  0.10008E+01
   10.5400   2.4300  17.1709   0.1500   2.2832  0.39001E+03  0.38996E+03  0.42371E-01  0.60190E+03  0.33196E+00  0.34740E+02  0.56683E+03  0.10009E+01
   10.5400   1.9860  19.5292   0.1500   2.4084  0.25279E+03  0.25276E+03  0.24530E-01  0.43070E+03  0.30810E+00  0.33877E+02  0.39651E+03  0.10011E+01
   10.5400   1.5170  22.9885   0.1500   2.5396  0.15287E+03  0.15286E+03  0.13288E-01  0.30328E+03  0.29120E+00  0.34439E+02  0.26855E+03  0.10014E+01
   10.5400   1.0230  28.8638   0.1500   2.6790  0.81471E+02  0.81464E+02  0.63530E-02  0.20799E+03  0.28340E+00  0.36489E+02  0.17122E+03  0.10018E+01
   10.5400   0.5020  42.8753   0.1501   2.8272  0.31548E+02  0.31546E+02  0.22090E-02  0.12447E+03  0.36437E+00  0.37980E+02  0.86124E+02  0.10033E+01
   10.5400   7.3270   6.6099   0.1703   1.0267  0.29476E+05  0.29451E+05  0.24703E+02  0.30931E+05  0.46160E+00  0.54941E+03  0.30381E+05  0.10003E+01
   10.5400   7.1510   6.8719   0.1703   1.0829  0.24160E+05  0.24142E+05  0.17908E+02  0.25503E+05  0.41896E+00  0.43218E+03  0.25070E+05  0.10003E+01
   10.5400   6.9650   7.1514   0.1703   1.1422  0.19718E+05  0.19705E+05  0.12902E+02  0.20949E+05  0.38102E+00  0.34017E+03  0.20609E+05  0.10003E+01
   10.5400   6.7690   7.4505   0.1702   1.2047  0.16019E+05  0.16010E+05  0.92378E+01  0.17140E+05  0.34706E+00  0.26828E+03  0.16871E+05  0.10004E+01
   10.5400   6.5620   7.7718   0.1702   1.2706  0.12946E+05  0.12940E+05  0.65708E+01  0.13961E+05  0.31560E+00  0.21215E+03  0.13748E+05  0.10004E+01
   10.5400   6.3440   8.1183   0.1702   1.3402  0.10404E+05  0.10400E+05  0.46429E+01  0.11316E+05  0.28722E+00  0.16836E+03  0.11147E+05  0.10004E+01
   10.5400   6.1140   8.4936   0.1702   1.4135  0.83100E+04  0.83067E+04  0.32576E+01  0.91242E+04  0.26160E+00  0.13423E+03  0.89897E+04  0.10005E+01
   10.5400   5.8710   8.9022   0.1702   1.4908  0.65922E+04  0.65900E+04  0.22685E+01  0.73159E+04  0.23862E+00  0.10765E+03  0.72081E+04  0.10005E+01
   10.5400   5.6150   9.3496   0.1701   1.5724  0.51915E+04  0.51899E+04  0.15676E+01  0.58272E+04  0.21753E+00  0.86921E+02  0.57400E+04  0.10006E+01
   10.5400   5.3450   9.8427   0.1701   1.6585  0.40556E+04  0.40545E+04  0.10743E+01  0.46114E+04  0.19847E+00  0.70809E+02  0.45404E+04  0.10006E+01
   10.5400   5.0600  10.3904   0.1701   1.7491  0.31402E+04  0.31395E+04  0.72972E+00  0.36226E+04  0.18128E+00  0.58218E+02  0.35642E+04  0.10007E+01
   10.5400   4.7600  11.0043   0.1701   1.8450  0.24078E+04  0.24073E+04  0.49086E+00  0.28233E+04  0.16543E+00  0.48384E+02  0.27747E+04  0.10007E+01
   10.5400   4.4430  11.6997   0.1701   1.9459  0.18259E+04  0.18256E+04  0.32665E+00  0.21815E+04  0.15134E+00  0.40786E+02  0.21406E+04  0.10008E+01
   10.5400   4.1090  12.4976   0.1701   2.0524  0.13675E+04  0.13673E+04  0.21476E+00  0.16699E+04  0.13844E+00  0.34881E+02  0.16348E+04  0.10009E+01
   10.5400   3.7570  13.4276   0.1701   2.1649  0.10094E+04  0.10093E+04  0.13923E+00  0.12651E+04  0.12694E+00  0.30373E+02  0.12346E+04  0.10010E+01
   10.5400   3.3850  14.5332   0.1700   2.2832  0.73230E+03  0.73222E+03  0.88780E-01  0.94762E+03  0.11655E+00  0.27033E+02  0.92047E+03  0.10011E+01
   10.5400   2.9930  15.8812   0.1700   2.4082  0.52007E+03  0.52001E+03  0.55454E-01  0.70090E+03  0.10740E+00  0.24663E+02  0.67613E+03  0.10012E+01
   10.5400   2.5800  17.5813   0.1701   2.5404  0.35930E+03  0.35927E+03  0.33711E-01  0.51119E+03  0.99237E-01  0.23176E+02  0.48792E+03  0.10014E+01
   10.5400   2.1440  19.8289   0.1701   2.6797  0.23901E+03  0.23899E+03  0.19746E-01  0.36727E+03  0.92487E-01  0.22599E+02  0.34458E+03  0.10017E+01
   10.5400   1.6840  23.0183   0.1701   2.8264  0.15019E+03  0.15018E+03  0.10931E-01  0.25955E+03  0.87378E-01  0.23031E+02  0.23643E+03  0.10021E+01
   10.5400   1.1980  28.1120   0.1699   2.9792  0.85583E+02  0.85577E+02  0.54944E-02  0.17998E+03  0.85555E-01  0.24752E+02  0.15514E+03  0.10029E+01
   10.5400   0.6870  38.4765   0.1701   3.1446  0.39278E+02  0.39276E+02  0.22168E-02  0.11813E+03  0.93922E-01  0.27666E+02  0.90369E+02  0.10050E+01
   10.5400   0.1470  93.9802   0.1699   3.3139  0.66484E+01  0.66481E+01  0.33041E-03  0.42673E+02  0.65622E+00  0.18640E+02  0.23376E+02  0.10251E+01
   10.5400   7.6660   6.4620   0.1904   1.0267  0.34986E+05  0.34953E+05  0.32453E+02  0.35635E+05  0.24693E+00  0.63402E+03  0.35001E+05  0.10004E+01
   10.5400   7.5080   6.7061   0.1903   1.0828  0.28841E+05  0.28818E+05  0.23838E+02  0.29528E+05  0.22521E+00  0.49601E+03  0.29032E+05  0.10004E+01
   10.5400   7.3420   6.9650   0.1903   1.1421  0.23709E+05  0.23692E+05  0.17404E+02  0.24402E+05  0.20573E+00  0.38803E+03  0.24014E+05  0.10005E+01
   10.5400   7.1660   7.2405   0.1902   1.2046  0.19418E+05  0.19406E+05  0.12622E+02  0.20102E+05  0.18834E+00  0.30368E+03  0.19798E+05  0.10005E+01
   10.5400   6.9810   7.5343   0.1902   1.2705  0.15844E+05  0.15835E+05  0.90962E+01  0.16504E+05  0.17232E+00  0.23794E+03  0.16266E+05  0.10006E+01
   10.5400   6.7860   7.8487   0.1902   1.3401  0.12872E+05  0.12865E+05  0.65118E+01  0.13498E+05  0.15770E+00  0.18676E+03  0.13311E+05  0.10006E+01
   10.5400   6.5800   8.1863   0.1902   1.4134  0.10405E+05  0.10401E+05  0.46297E+01  0.10992E+05  0.14445E+00  0.14700E+03  0.10845E+05  0.10007E+01
   10.5400   6.3630   8.5502   0.1902   1.4907  0.83669E+04  0.83636E+04  0.32686E+01  0.89100E+04  0.13231E+00  0.11617E+03  0.87937E+04  0.10007E+01
   10.5400   6.1340   8.9443   0.1902   1.5724  0.66880E+04  0.66857E+04  0.22906E+01  0.71853E+04  0.12124E+00  0.92170E+02  0.70930E+04  0.10007E+01
   10.5400   5.8930   9.3731   0.1902   1.6586  0.53121E+04  0.53105E+04  0.15931E+01  0.57625E+04  0.11105E+00  0.73548E+02  0.56889E+04  0.10008E+01
   10.5400   5.6380   9.8424   0.1902   1.7493  0.41893E+04  0.41882E+04  0.10991E+01  0.45937E+04  0.10189E+00  0.59143E+02  0.45345E+04  0.10008E+01
   10.5400   5.3690  10.3594   0.1901   1.8449  0.32785E+04  0.32777E+04  0.75187E+00  0.36381E+04  0.93518E-01  0.47981E+02  0.35900E+04  0.10009E+01
   10.5400   5.0860  10.9333   0.1901   1.9461  0.25442E+04  0.25437E+04  0.50965E+00  0.28607E+04  0.85777E-01  0.39292E+02  0.28213E+04  0.10010E+01
   10.5400   4.7870  11.5759   0.1901   2.0525  0.19560E+04  0.19556E+04  0.34212E+00  0.22322E+04  0.78795E-01  0.32571E+02  0.21995E+04  0.10010E+01
   10.5400   4.4720  12.3031   0.1901   2.1650  0.14881E+04  0.14879E+04  0.22717E+00  0.17272E+04  0.72400E-01  0.27393E+02  0.16997E+04  0.10011E+01
   10.5400   4.1390  13.1367   0.1901   2.2833  0.11188E+04  0.11186E+04  0.14904E+00  0.13241E+04  0.66678E-01  0.23421E+02  0.13006E+04  0.10012E+01
   10.5400   3.7880  14.1068   0.1901   2.4081  0.82968E+03  0.82958E+03  0.96442E-01  0.10049E+04  0.61492E-01  0.20411E+02  0.98440E+03  0.10013E+01
   10.5400   3.4180  15.2581   0.1900   2.5398  0.60530E+03  0.60524E+03  0.61378E-01  0.75393E+03  0.56807E-01  0.18165E+02  0.73571E+03  0.10015E+01
   10.5400   3.0280  16.6585   0.1900   2.6789  0.43282E+03  0.43278E+03  0.38274E-01  0.55847E+03  0.52618E-01  0.16615E+02  0.54180E+03  0.10017E+01
   10.5400   2.6170  18.4191   0.1901   2.8261  0.30153E+03  0.30151E+03  0.23239E-01  0.40769E+03  0.48914E-01  0.15686E+02  0.39196E+03  0.10019E+01
   10.5400   2.1830  20.7361   0.1901   2.9810  0.20271E+03  0.20270E+03  0.13613E-01  0.29292E+03  0.45845E-01  0.15420E+02  0.27745E+03  0.10023E+01
   10.5400   1.7250  24.0009   0.1901   3.1440  0.12917E+03  0.12916E+03  0.75540E-02  0.20682E+03  0.43546E-01  0.15918E+02  0.19086E+03  0.10029E+01
   10.5400   1.2420  29.1501   0.1900   3.3160  0.75101E+02  0.75097E+02  0.38195E-02  0.14317E+03  0.42527E-01  0.17410E+02  0.12572E+03  0.10041E+01
   10.5400   0.7330  39.3274   0.1901   3.4992  0.35822E+02  0.35820E+02  0.15790E-02  0.95435E+02  0.45752E-01  0.20160E+02  0.75229E+02  0.10071E+01
   10.5400   0.1950  84.0121   0.1897   3.6818  0.76379E+01  0.76376E+01  0.29310E-03  0.39763E+02  0.12296E+01  0.16047E+02  0.22487E+02  0.10285E+01
   10.5400   7.9400   6.3492   0.2104   1.0266  0.40225E+05  0.40188E+05  0.37059E+02  0.39923E+05  0.18173E+00  0.72282E+03  0.39200E+05  0.10005E+01
   10.5400   7.7980   6.5803   0.2105   1.0829  0.33282E+05  0.33254E+05  0.27658E+02  0.33186E+05  0.16591E+00  0.56398E+03  0.32622E+05  0.10006E+01
   10.5400   7.6470   6.8244   0.2104   1.1421  0.27463E+05  0.27442E+05  0.20510E+02  0.27520E+05  0.15182E+00  0.43956E+03  0.27080E+05  0.10006E+01
   10.5400   7.4880   7.0829   0.2103   1.2046  0.22601E+05  0.22586E+05  0.15101E+02  0.22764E+05  0.13893E+00  0.34238E+03  0.22422E+05  0.10007E+01
   10.5400   7.3210   7.3572   0.2103   1.2706  0.18549E+05  0.18538E+05  0.11042E+02  0.18782E+05  0.12706E+00  0.26666E+03  0.18515E+05  0.10007E+01
   10.5400   7.1440   7.6491   0.2103   1.3400  0.15172E+05  0.15164E+05  0.80180E+01  0.15450E+05  0.11637E+00  0.20773E+03  0.15242E+05  0.10008E+01
   10.5400   6.9580   7.9606   0.2103   1.4134  0.12365E+05  0.12359E+05  0.57806E+01  0.12667E+05  0.10651E+00  0.16204E+03  0.12505E+05  0.10008E+01
   10.5400   6.7620   8.2940   0.2103   1.4909  0.10036E+05  0.10032E+05  0.41379E+01  0.10348E+05  0.97479E-01  0.12652E+03  0.10221E+05  0.10009E+01
   10.5400   6.5540   8.6522   0.2102   1.5723  0.81059E+04  0.81030E+04  0.29411E+01  0.84179E+04  0.89386E-01  0.99165E+02  0.83187E+04  0.10009E+01
   10.5400   6.3360   9.0386   0.2102   1.6585  0.65138E+04  0.65117E+04  0.20741E+01  0.68167E+04  0.81825E-01  0.77979E+02  0.67386E+04  0.10010E+01
   10.5400   6.1050   9.4572   0.2102   1.7491  0.52041E+04  0.52027E+04  0.14519E+01  0.54927E+04  0.75027E-01  0.61672E+02  0.54310E+04  0.10010E+01
   10.5400   5.8620   9.9130   0.2102   1.8449  0.41321E+04  0.41311E+04  0.10081E+01  0.44019E+04  0.68746E-01  0.49069E+02  0.43527E+04  0.10011E+01
   10.5400   5.6060  10.4122   0.2102   1.9460  0.32585E+04  0.32578E+04  0.69406E+00  0.35067E+04  0.62977E-01  0.39346E+02  0.34673E+04  0.10011E+01
   10.5400   5.3350  10.9627   0.2101   2.0523  0.25502E+04  0.25497E+04  0.47376E+00  0.27759E+04  0.57785E-01  0.31861E+02  0.27440E+04  0.10012E+01
   10.5400   5.0500  11.5743   0.2101   2.1647  0.19795E+04  0.19792E+04  0.32031E+00  0.21816E+04  0.52981E-01  0.26060E+02  0.21554E+04  0.10013E+01
   10.5400   4.7490  12.2601   0.2101   2.2831  0.15225E+04  0.15223E+04  0.21440E+00  0.17016E+04  0.48628E-01  0.21593E+02  0.16800E+04  0.10014E+01
   10.5400   4.4320  13.0374   0.2101   2.4083  0.11591E+04  0.11590E+04  0.14189E+00  0.13160E+04  0.44630E-01  0.18162E+02  0.12978E+04  0.10015E+01
   10.5400   4.0970  13.9298   0.2101   2.5399  0.87225E+03  0.87216E+03  0.92769E-01  0.10085E+04  0.41046E-01  0.15558E+02  0.99292E+03  0.10016E+01
   10.5400   3.7440  14.9709   0.2101   2.6789  0.64755E+03  0.64749E+03  0.59780E-01  0.76487E+03  0.37783E-01  0.13615E+02  0.75122E+03  0.10017E+01
   10.5400   3.3720  16.2097   0.2101   2.8258  0.47302E+03  0.47298E+03  0.37866E-01  0.57336E+03  0.34832E-01  0.12212E+02  0.56112E+03  0.10019E+01
   10.5400   2.9790  17.7223   0.2100   2.9802  0.33866E+03  0.33863E+03  0.23496E-01  0.42417E+03  0.32243E-01  0.11275E+02  0.41286E+03  0.10022E+01
   10.5400   2.5650  19.6333   0.2100   3.1435  0.23617E+03  0.23615E+03  0.14181E-01  0.30899E+03  0.29951E-01  0.10782E+02  0.29818E+03  0.10026E+01
   10.5400   2.1280  22.1665   0.2100   3.3154  0.15878E+03  0.15877E+03  0.82429E-02  0.22123E+03  0.28043E-01  0.10783E+02  0.21042E+03  0.10031E+01
   10.5400   1.6670  25.7759   0.2100   3.4964  0.10094E+03  0.10093E+03  0.45240E-02  0.15538E+03  0.26611E-01  0.11397E+02  0.14396E+03  0.10040E+01
   10.5400   1.1810  31.5836   0.2100   3.6876  0.58140E+02  0.58138E+02  0.22444E-02  0.10687E+03  0.25983E-01  0.12877E+02  0.93970E+02  0.10058E+01
   10.5400   0.6690  43.6149   0.2101   3.8924  0.26776E+02  0.26775E+02  0.88560E-03  0.70697E+02  0.28238E-01  0.15543E+02  0.55125E+02  0.10107E+01
   10.5400   0.1280 121.4180   0.2101   4.1048  0.40106E+01  0.40105E+01  0.11353E-03  0.25319E+02  0.37004E+00  0.11055E+02  0.13894E+02  0.10626E+01
   10.5400   8.1670   6.2604   0.2306   1.0267  0.45177E+05  0.45142E+05  0.35886E+02  0.43791E+05  0.13998E+00  0.81450E+03  0.42977E+05  0.10007E+01
   10.5400   8.0370   6.4815   0.2305   1.0829  0.37470E+05  0.37443E+05  0.27407E+02  0.36487E+05  0.12709E+00  0.63466E+03  0.35852E+05  0.10007E+01
   10.5400   7.8990   6.7145   0.2304   1.1421  0.30996E+05  0.30976E+05  0.20769E+02  0.30328E+05  0.11562E+00  0.49351E+03  0.29835E+05  0.10008E+01
   10.5400   7.7540   6.9602   0.2304   1.2046  0.25586E+05  0.25570E+05  0.15603E+02  0.25156E+05  0.10515E+00  0.38328E+03  0.24773E+05  0.10008E+01
   10.5400   7.6010   7.2200   0.2304   1.2705  0.21069E+05  0.21057E+05  0.11628E+02  0.20818E+05  0.95659E-01  0.29722E+03  0.20521E+05  0.10009E+01
   10.5400   7.4400   7.4952   0.2304   1.3400  0.17305E+05  0.17297E+05  0.85948E+01  0.17187E+05  0.87001E-01  0.23033E+03  0.16956E+05  0.10009E+01
   10.5400   7.2700   7.7876   0.2303   1.4134  0.14172E+05  0.14166E+05  0.63031E+01  0.14150E+05  0.79163E-01  0.17847E+03  0.13972E+05  0.10010E+01
