EXTERNAL/TSAI:  VERSION OF 8/8/96

RUNPLAN for CLAS hadronization experiment                               
 inclusive:                                                             
                                                                        
CLAS ALUMINUM                                                           
                                                                        

----*----1----*----2----*----3----*----4----*----5----*----6----*----7--
                                                                        

TARGET (iZ,iA) = ( 13, 27);   avgA =  27.000; amuM= 26.978; avgM= 25.130
 targ= ordina; ttarg(rl)=0.01315; twall=0.00129; tbeam=0.00264; tspec=0.00000
         Nseg  =   2
 MODELS: P elastc(ikk)=14; deut elastic=13; inelastc=206; Pauli Supresion= 1
 NUCLEAR METHOD= 1;   NUCLEAR_MODEL= 1

    E1    TH    Q2 COS_K         SMR     NUC          INT-SMR
    EP     X    W2 QE-PK  INELA  Q-ELA  ELAST   TOTAL  MODEL


  10.540 65.417 10.71   11.05    3.89   11.39    0.00   15.28  0.946
   0.870  0.590  8.32   15.20    1.71   14.56    0.00   16.27 4.892E-01

  10.540  5.759  1.03    6.04  -30.05   17.83    0.00  -12.22  2.964
   9.650  0.615  1.52    7.61  -35.02   18.07    0.00  -16.95 2.698E+04

  10.540  5.930  1.08    5.73  -28.75   16.62    0.00  -12.12  2.910
   9.601  0.615  1.56    7.22  -33.74   16.91    0.00  -16.83 2.199E+04

  10.540  6.106  1.14    5.42  -27.61   15.40    0.00  -12.21  2.854
   9.549  0.614  1.60    6.83  -32.61   15.72    0.00  -16.88 1.795E+04

  10.540  6.290  1.20    5.10  -26.29   14.21    0.00  -12.09  2.795
   9.494  0.614  1.64    6.44  -31.32   14.57    0.00  -16.75 1.464E+04

  10.540  6.479  1.27    4.80  -25.23   13.10    0.00  -12.13  2.741
   9.437  0.614  1.68    6.06  -30.26   13.48    0.00  -16.78 1.195E+04

  10.540  6.676  1.34    4.48  -24.10   11.95    0.00  -12.14  2.681
   9.376  0.614  1.72    5.66  -29.15   12.35    0.00  -16.79 9.784E+03

  10.540  6.880  1.41    4.16  -23.18   10.85    0.00  -12.33  2.622
   9.312  0.613  1.77    5.26  -28.23   11.26    0.00  -16.97 8.027E+03

  10.540  7.092  1.49    3.84  -22.18    9.76    0.00  -12.41  2.559
   9.244  0.613  1.82    4.85  -27.24   10.18    0.00  -17.06 6.604E+03

  10.540  7.312  1.57    3.53  -21.29    8.77    0.00  -12.52  2.500
   9.173  0.613  1.87    4.47  -26.35    9.18    0.00  -17.17 5.435E+03

  10.540  7.541  1.66    3.22  -20.38    7.79    0.00  -12.59  2.434
   9.097  0.612  1.93    4.08  -25.44    8.19    0.00  -17.25 4.487E+03

  10.540  7.779  1.75    2.94  -19.53    6.93    0.00  -12.61  2.374
   9.018  0.612  1.99    3.73  -24.59    7.31    0.00  -17.27 3.701E+03

  10.540  8.026  1.84    2.67  -18.80    6.11    0.00  -12.69  2.311
   8.934  0.612  2.05    3.38  -23.83    6.48    0.00  -17.35 3.059E+03

  10.540  8.285  1.95    2.42  -18.10    5.38    0.00  -12.72  2.250
   8.846  0.612  2.11    3.06  -23.11    5.73    0.00  -17.38 2.525E+03

  10.540  8.554  2.05    2.18  -17.40    4.72    0.00  -12.68  2.189
   8.753  0.612  2.18    2.77  -22.38    5.05    0.00  -17.33 2.083E+03

  10.540  8.835  2.16    1.97  -16.76    4.13    0.00  -12.63  2.128
   8.655  0.612  2.25    2.50  -21.70    4.44    0.00  -17.26 1.715E+03

  10.540  9.129  2.28    1.77  -16.14    3.60    0.00  -12.54  2.066
   8.551  0.612  2.33    2.25  -21.03    3.89    0.00  -17.14 1.410E+03

  10.540  9.437  2.41    1.60  -15.60    3.15    0.00  -12.45  2.006
   8.442  0.612  2.41    2.03  -20.42    3.41    0.00  -17.01 1.155E+03

  10.540  9.759  2.54    1.44  -15.02    2.75    0.00  -12.27  1.947
   8.327  0.612  2.49    1.84  -19.77    2.99    0.00  -16.78 9.429E+02

  10.540 10.097  2.68    1.30  -14.44    2.39    0.00  -12.04  1.886
   8.205  0.611  2.58    1.66  -19.12    2.62    0.00  -16.50 7.675E+02

  10.540 10.453  2.83    1.18  -13.89    2.09    0.00  -11.81  1.828
   8.077  0.611  2.68    1.50  -18.50    2.30    0.00  -16.20 6.222E+02

  10.540 10.827  2.98    1.07  -13.40    1.82    0.00  -11.57  1.771
   7.942  0.611  2.78    1.36  -17.91    2.02    0.00  -15.90 5.026E+02

  10.540 11.222  3.14    0.97  -12.90    1.59    0.00  -11.31  1.713
   7.799  0.611  2.88    1.23  -17.33    1.76    0.00  -15.56 4.050E+02

  10.540 11.639  3.32    0.88  -12.42    1.39    0.00  -11.03  1.658
   7.649  0.611  2.99    1.12  -16.76    1.55    0.00  -15.21 3.251E+02

  10.540 12.081  3.50    0.80  -11.94    1.21    0.00  -10.73  1.601
   7.490  0.611  3.11    1.02  -16.19    1.36    0.00  -14.83 2.605E+02

  10.540 12.550  3.69    0.73  -11.52    1.05    0.00  -10.46  1.546
   7.323  0.611  3.23    0.93  -15.67    1.19    0.00  -14.48 2.081E+02

  10.540 13.049  3.89    0.67  -11.11    0.92    0.00  -10.20  1.490
   7.146  0.611  3.36    0.85  -15.18    1.04    0.00  -14.14 1.662E+02

  10.540 13.582  4.10    0.62  -10.70    0.80    0.00   -9.90  1.436
   6.960  0.611  3.50    0.78  -14.68    0.91    0.00  -13.77 1.322E+02

  10.540 14.153  4.33    0.57  -10.33    0.70    0.00   -9.63  1.382
   6.764  0.611  3.64    0.72  -14.22    0.80    0.00  -13.42 1.050E+02

  10.540 14.766  4.56    0.53   -9.96    0.61    0.00   -9.35  1.328
   6.557  0.611  3.79    0.67  -13.76    0.70    0.00  -13.06 8.331E+01

  10.540 15.427  4.81    0.50   -9.60    0.53    0.00   -9.07  1.275
   6.339  0.611  3.95    0.63  -13.32    0.62    0.00  -12.70 6.591E+01

  10.540 16.145  5.08    0.47   -9.24    0.47    0.00   -8.78  1.220
   6.108  0.611  4.12    0.59  -12.87    0.55    0.00  -12.32 5.207E+01

  10.540 16.926  5.36    0.45   -8.86    0.41    0.00   -8.45  1.166
   5.865  0.610  4.30    0.56  -12.39    0.49    0.00  -11.90 4.097E+01

  10.540 17.782  5.65    0.44   -8.47    0.37    0.00   -8.10  1.113
   5.609  0.610  4.48    0.55  -11.90    0.44    0.00  -11.46 3.210E+01

  10.540 18.727  5.96    0.44   -8.06    0.33    0.00   -7.73  1.061
   5.339  0.611  4.68    0.54  -11.38    0.39    0.00  -10.99 2.503E+01

  10.540 19.778  6.28    0.44   -7.62    0.30    0.00   -7.32  1.010
   5.054  0.610  4.89    0.54  -10.82    0.36    0.00  -10.46 1.941E+01

  10.540 20.958  6.63    0.46   -7.13    0.28    0.00   -6.86  0.959
   4.753  0.610  5.11    0.55  -10.21    0.34    0.00   -9.87 1.495E+01

  10.540 22.296  6.99    0.49   -6.61    0.26    0.00   -6.34  0.912
   4.436  0.610  5.34    0.58   -9.54    0.33    0.00   -9.22 1.142E+01

  10.540 23.835  7.37    0.53   -6.01    0.26    0.00   -5.75  0.867
   4.101  0.610  5.59    0.63   -8.79    0.32    0.00   -8.47 8.639E+00

  10.540 25.634  7.78    0.60   -5.36    0.27    0.00   -5.09  0.828
   3.748  0.610  5.85    0.70   -7.96    0.33    0.00   -7.62 6.455E+00

  10.540 27.779  8.20    0.70   -4.61    0.29    0.00   -4.32  0.794
   3.376  0.610  6.12    0.82   -7.01    0.37    0.00   -6.65 4.748E+00

  10.540 30.407  8.65    0.85   -3.80    0.34    0.00   -3.46  0.768
   2.984  0.610  6.41    1.00   -5.98    0.43    0.00   -5.55 3.425E+00

  10.540 33.741  9.13    1.11   -2.91    0.44    0.00   -2.47  0.755
   2.570  0.610  6.71    1.30   -4.85    0.57    0.00   -4.28 2.412E+00

  10.540 38.189  9.62    1.56   -1.99    0.68    0.00   -1.31  0.757
   2.133  0.610  7.03    1.87   -3.68    0.88    0.00   -2.81 1.642E+00

  10.540 44.593 10.15    2.51   -1.13    1.32    0.00    0.19  0.786
   1.673  0.610  7.37    3.09   -2.66    1.71    0.00   -0.95 1.056E+00

  10.540 55.103 10.71    5.17   -1.17    3.92    0.00    2.75  0.870
   1.187  0.610  7.73    6.73   -3.24    5.05    0.00    1.81 6.198E-01

  10.540  5.750  1.03    6.62  -33.14   20.69    0.00  -12.45  3.137
   9.678  0.635  1.47    8.32  -37.99   20.75    0.00  -17.24 2.678E+04

  10.540  5.920  1.08    6.30  -31.84   19.40    0.00  -12.44  3.092
   9.631  0.635  1.50    7.92  -36.73   19.52    0.00  -17.21 2.182E+04

  10.540  6.096  1.14    5.93  -30.51   18.09    0.00  -12.42  3.042
   9.581  0.635  1.54    7.48  -35.43   18.27    0.00  -17.16 1.777E+04

  10.540  6.278  1.20    5.64  -29.15   16.80    0.00  -12.35  2.989
   9.528  0.634  1.57    7.10  -34.10   17.02    0.00  -17.08 1.445E+04

  10.540  6.467  1.27    5.30  -27.91   15.50    0.00  -12.41  2.934
   9.472  0.634  1.61    6.68  -32.89   15.77    0.00  -17.12 1.178E+04

  10.540  6.663  1.34    4.97  -26.66   14.24    0.00  -12.42  2.877
   9.413  0.634  1.66    6.27  -31.66   14.55    0.00  -17.12 9.601E+03

  10.540  6.865  1.41    4.64  -25.51   13.02    0.00  -12.49  2.820
   9.351  0.633  1.70    5.85  -30.53   13.34    0.00  -17.19 7.844E+03

  10.540  7.076  1.49    4.30  -24.39   11.79    0.00  -12.60  2.759
   9.285  0.633  1.74    5.42  -29.43   12.13    0.00  -17.30 6.424E+03

  10.540  7.294  1.57    3.97  -23.31   10.65    0.00  -12.66  2.699
   9.216  0.633  1.79    5.01  -28.36   11.00    0.00  -17.36 5.265E+03

  10.540  7.522  1.66    3.66  -22.33    9.60    0.00  -12.73  2.643
   9.144  0.633  1.84    4.62  -27.40    9.95    0.00  -17.44 4.318E+03

  10.540  7.758  1.75    3.34  -21.36    8.56    0.00  -12.80  2.580
   9.067  0.633  1.90    4.22  -26.43    8.91    0.00  -17.52 3.553E+03

  10.540  8.003  1.85    3.04  -20.50    7.60    0.00  -12.90  2.518
   8.986  0.633  1.95    3.85  -25.56    7.94    0.00  -17.62 2.924E+03

  10.540  8.259  1.95    2.76  -19.62    6.70    0.00  -12.92  2.453
   8.900  0.632  2.01    3.49  -24.67    7.03    0.00  -17.64 2.410E+03

  10.540  8.526  2.05    2.49  -18.85    5.90    0.00  -12.95  2.391
   8.810  0.632  2.07    3.16  -23.88    6.21    0.00  -17.67 1.985E+03

  10.540  8.804  2.16    2.25  -18.11    5.18    0.00  -12.93  2.328
   8.715  0.632  2.14    2.85  -23.11    5.48    0.00  -17.64 1.633E+03

  10.540  9.095  2.28    2.03  -17.45    4.54    0.00  -12.92  2.266
   8.615  0.632  2.21    2.57  -22.42    4.82    0.00  -17.60 1.341E+03

  10.540  9.399  2.41    1.81  -16.78    3.96    0.00  -12.82  2.202
   8.509  0.632  2.28    2.30  -21.70    4.22    0.00  -17.47 1.099E+03

  10.540  9.718  2.54    1.64  -16.13    3.45    0.00  -12.69  2.138
   8.397  0.632  2.36    2.09  -20.99    3.69    0.00  -17.30 8.988E+02

  10.540 10.052  2.68    1.48  -15.55    3.01    0.00  -12.53  2.078
   8.280  0.632  2.44    1.88  -20.34    3.24    0.00  -17.10 7.314E+02

  10.540 10.402  2.83    1.33  -14.96    2.62    0.00  -12.34  2.014
   8.155  0.631  2.53    1.70  -19.68    2.83    0.00  -16.85 5.943E+02

  10.540 10.771  2.98    1.21  -14.37    2.29    0.00  -12.08  1.955
   8.025  0.632  2.62    1.54  -19.02    2.49    0.00  -16.53 4.800E+02

  10.540 11.160  3.14    1.09  -13.88    2.00    0.00  -11.88  1.895
   7.887  0.631  2.72    1.39  -18.43    2.18    0.00  -16.26 3.870E+02

  10.540 11.570  3.32    0.99  -13.32    1.74    0.00  -11.58  1.834
   7.741  0.631  2.82    1.26  -17.79    1.90    0.00  -15.89 3.111E+02

  10.540 12.003  3.50    0.90  -12.81    1.51    0.00  -11.30  1.773
   7.587  0.631  2.92    1.14  -17.20    1.67    0.00  -15.53 2.493E+02

  10.540 12.463  3.69    0.82  -12.36    1.32    0.00  -11.05  1.713
   7.425  0.631  3.04    1.04  -16.66    1.46    0.00  -15.20 1.992E+02

  10.540 12.951  3.89    0.74  -11.89    1.15    0.00  -10.75  1.654
   7.254  0.631  3.16    0.95  -16.10    1.28    0.00  -14.83 1.588E+02

  10.540 13.472  4.10    0.68  -11.47    1.00    0.00  -10.47  1.595
   7.074  0.631  3.28    0.86  -15.59    1.12    0.00  -14.48 1.262E+02

  10.540 14.028  4.33    0.63  -11.07    0.87    0.00  -10.20  1.536
   6.884  0.631  3.41    0.79  -15.11    0.98    0.00  -14.13 1.002E+02

  10.540 14.624  4.56    0.58  -10.69    0.76    0.00   -9.93  1.478
   6.684  0.631  3.55    0.73  -14.64    0.86    0.00  -13.78 7.933E+01

  10.540 15.266  4.81    0.54  -10.31    0.66    0.00   -9.66  1.417
   6.472  0.631  3.70    0.68  -14.17    0.75    0.00  -13.42 6.277E+01

  10.540 15.960  5.08    0.50   -9.94    0.57    0.00   -9.37  1.358
   6.249  0.631  3.85    0.63  -13.72    0.66    0.00  -13.06 4.952E+01

  10.540 16.714  5.36    0.48   -9.58    0.50    0.00   -9.08  1.298
   6.014  0.631  4.02    0.60  -13.26    0.58    0.00  -12.68 3.895E+01

  10.540 17.537  5.65    0.46   -9.19    0.44    0.00   -8.75  1.238
   5.766  0.631  4.19    0.57  -12.78    0.51    0.00  -12.26 3.054E+01

  10.540 18.441  5.96    0.45   -8.80    0.39    0.00   -8.40  1.177
   5.504  0.630  4.37    0.55  -12.28    0.46    0.00  -11.82 2.386E+01

  10.540 19.442  6.28    0.44   -8.37    0.35    0.00   -8.02  1.116
   5.228  0.630  4.56    0.54  -11.75    0.41    0.00  -11.34 1.854E+01

  10.540 20.559  6.63    0.45   -7.92    0.32    0.00   -7.61  1.058
   4.937  0.630  4.77    0.54  -11.19    0.38    0.00  -10.81 1.432E+01

  10.540 21.818  6.99    0.47   -7.43    0.29    0.00   -7.13  1.000
   4.630  0.630  4.98    0.56  -10.56    0.35    0.00  -10.21 1.098E+01

  10.540 23.254  7.37    0.50   -6.88    0.28    0.00   -6.61  0.944
   4.306  0.630  5.21    0.59   -9.87    0.34    0.00   -9.54 8.347E+00

  10.540 24.915  7.78    0.54   -6.28    0.27    0.00   -6.01  0.891
   3.964  0.630  5.44    0.64   -9.11    0.34    0.00   -8.77 6.283E+00

  10.540 26.871  8.20    0.62   -5.61    0.28    0.00   -5.33  0.845
   3.604  0.630  5.69    0.72   -8.26    0.35    0.00   -7.91 4.663E+00

  10.540 29.227  8.65    0.73   -4.87    0.31    0.00   -4.56  0.805
   3.224  0.630  5.96    0.85   -7.33    0.39    0.00   -6.94 3.408E+00

  10.540 32.149  9.12    0.90   -4.09    0.37    0.00   -3.72  0.775
   2.823  0.630  6.24    1.06   -6.34    0.46    0.00   -5.87 2.441E+00

  10.540 35.925  9.62    1.20   -3.35    0.50    0.00   -2.85  0.761
   2.400  0.630  6.53    1.42   -5.40    0.64    0.00   -4.76 1.702E+00

  10.540 41.096 10.15    1.75   -2.87    0.81    0.00   -2.06  0.768
   1.955  0.630  6.84    2.10   -4.81    1.04    0.00   -3.77 1.136E+00

  10.540 48.869 10.71    3.02   -3.82    1.80    0.00   -2.02  0.813
   1.484  0.630  7.17    3.78   -6.19    2.32    0.00   -3.88 7.139E-01

  10.540  5.742  1.03    7.30  -36.52   23.90    0.00  -12.62  3.286
   9.705  0.655  1.42    9.15  -41.22   23.75    0.00  -17.47 2.652E+04

  10.540  5.912  1.08    6.94  -35.01   22.44    0.00  -12.57  3.245
   9.659  0.655  1.45    8.71  -39.77   22.37    0.00  -17.39 2.160E+04

  10.540  6.087  1.14    6.53  -33.57   20.94    0.00  -12.63  3.200
   9.610  0.654  1.48    8.21  -38.38   20.94    0.00  -17.43 1.759E+04

  10.540  6.268  1.20    6.23  -32.17   19.57    0.00  -12.60  3.155
   9.559  0.654  1.52    7.82  -37.02   19.63    0.00  -17.39 1.428E+04

  10.540  6.456  1.27    5.88  -30.90   18.18    0.00  -12.72  3.107
   9.505  0.654  1.55    7.38  -35.78   18.30    0.00  -17.47 1.161E+04

  10.540  6.650  1.34    5.53  -29.47   16.83    0.00  -12.64  3.056
   9.448  0.654  1.59    6.95  -34.39   17.00    0.00  -17.40 9.427E+03

  10.540  6.852  1.41    5.18  -28.19   15.49    0.00  -12.70  3.003
   9.388  0.654  1.63    6.52  -33.15   15.70    0.00  -17.45 7.669E+03

  10.540  7.061  1.49    4.83  -26.80   14.14    0.00  -12.66  2.946
   9.324  0.653  1.67    6.07  -31.80   14.38    0.00  -17.41 6.249E+03

  10.540  7.278  1.57    4.47  -25.68   12.84    0.00  -12.84  2.888
   9.257  0.653  1.72    5.63  -30.70   13.10    0.00  -17.59 5.105E+03

  10.540  7.504  1.66    4.13  -24.51   11.64    0.00  -12.87  2.833
   9.187  0.653  1.76    5.21  -29.55   11.92    0.00  -17.63 4.169E+03

  10.540  7.738  1.75    3.79  -23.41   10.43    0.00  -12.98  2.771
   9.112  0.653  1.81    4.78  -28.46   10.72    0.00  -17.74 3.418E+03

  10.540  7.982  1.85    3.47  -22.41    9.34    0.00  -13.07  2.712
   9.034  0.653  1.86    4.38  -27.47    9.63    0.00  -17.84 2.800E+03

  10.540  8.236  1.95    3.16  -21.44    8.29    0.00  -13.15  2.650
   8.951  0.653  1.92    3.98  -26.50    8.59    0.00  -17.91 2.299E+03

  10.540  8.500  2.05    2.85  -20.52    7.31    0.00  -13.20  2.585
   8.863  0.652  1.98    3.61  -25.57    7.60    0.00  -17.97 1.890E+03

  10.540  8.776  2.16    2.58  -19.62    6.44    0.00  -13.17  2.522
   8.771  0.652  2.04    3.26  -24.66    6.72    0.00  -17.94 1.551E+03

  10.540  9.064  2.28    2.33  -18.88    5.66    0.00  -13.22  2.459
   8.674  0.652  2.10    2.95  -23.90    5.93    0.00  -17.97 1.273E+03

  10.540  9.365  2.41    2.10  -18.12    4.97    0.00  -13.15  2.398
   8.572  0.652  2.17    2.66  -23.10    5.22    0.00  -17.88 1.041E+03

  10.540  9.680  2.54    1.88  -17.42    4.32    0.00  -13.10  2.331
   8.463  0.652  2.24    2.39  -22.35    4.56    0.00  -17.79 8.525E+02

  10.540 10.010  2.68    1.70  -16.72    3.77    0.00  -12.95  2.267
   8.349  0.652  2.31    2.15  -21.61    4.00    0.00  -17.61 6.947E+02

  10.540 10.356  2.83    1.53  -16.05    3.30    0.00  -12.75  2.205
   8.229  0.652  2.39    1.94  -20.87    3.51    0.00  -17.36 5.638E+02

  10.540 10.719  2.98    1.38  -15.44    2.87    0.00  -12.56  2.141
   8.102  0.651  2.48    1.75  -20.19    3.07    0.00  -17.12 4.565E+02

  10.540 11.102  3.14    1.24  -14.85    2.50    0.00  -12.35  2.078
   7.968  0.651  2.56    1.57  -19.53    2.68    0.00  -16.84 3.684E+02

  10.540 11.505  3.32    1.12  -14.29    2.18    0.00  -12.11  2.016
   7.827  0.651  2.66    1.42  -18.88    2.35    0.00  -16.54 2.961E+02

  10.540 11.932  3.50    1.01  -13.76    1.90    0.00  -11.86  1.953
   7.678  0.651  2.75    1.29  -18.27    2.05    0.00  -16.22 2.374E+02

  10.540 12.383  3.69    0.92  -13.23    1.65    0.00  -11.57  1.890
   7.521  0.651  2.86    1.17  -17.65    1.80    0.00  -15.86 1.896E+02

  10.540 12.861  3.89    0.84  -12.75    1.44    0.00  -11.31  1.829
   7.356  0.651  2.96    1.06  -17.09    1.57    0.00  -15.52 1.509E+02

  10.540 13.371  4.10    0.76  -12.28    1.25    0.00  -11.03  1.766
   7.181  0.651  3.08    0.97  -16.53    1.38    0.00  -15.16 1.200E+02

  10.540 13.914  4.33    0.70  -11.83    1.09    0.00  -10.74  1.704
   6.997  0.651  3.20    0.88  -16.00    1.20    0.00  -14.80 9.510E+01

  10.540 14.495  4.56    0.64  -11.42    0.94    0.00  -10.48  1.639
   6.802  0.651  3.33    0.81  -15.50    1.05    0.00  -14.46 7.533E+01

  10.540 15.120  4.81    0.59  -11.04    0.82    0.00  -10.22  1.577
   6.598  0.651  3.46    0.74  -15.04    0.92    0.00  -14.12 5.941E+01

  10.540 15.793  5.08    0.55  -10.64    0.71    0.00   -9.92  1.511
   6.381  0.651  3.61    0.69  -14.55    0.80    0.00  -13.75 4.687E+01

  10.540 16.522  5.36    0.51  -10.27    0.62    0.00   -9.65  1.445
   6.153  0.651  3.76    0.64  -14.09    0.70    0.00  -13.39 3.685E+01

  10.540 17.316  5.65    0.49   -9.89    0.54    0.00   -9.34  1.380
   5.913  0.651  3.91    0.60  -13.62    0.62    0.00  -13.00 2.887E+01

  10.540 18.185  5.96    0.47   -9.50    0.48    0.00   -9.02  1.312
   5.659  0.650  4.08    0.58  -13.14    0.55    0.00  -12.59 2.257E+01

  10.540 19.142  6.28    0.45   -9.10    0.42    0.00   -8.68  1.245
   5.392  0.651  4.26    0.56  -12.64    0.49    0.00  -12.15 1.755E+01

  10.540 20.205  6.63    0.45   -8.66    0.37    0.00   -8.28  1.176
   5.109  0.650  4.44    0.55  -12.09    0.44    0.00  -11.65 1.360E+01

  10.540 21.396  6.99    0.46   -8.20    0.34    0.00   -7.86  1.109
   4.812  0.650  4.64    0.55  -11.51    0.40    0.00  -11.11 1.045E+01

  10.540 22.745  7.37    0.48   -7.69    0.31    0.00   -7.38  1.042
   4.498  0.650  4.84    0.57  -10.88    0.37    0.00  -10.50 7.979E+00

  10.540 24.292  7.78    0.51   -7.14    0.30    0.00   -6.84  0.978
   4.167  0.650  5.06    0.60  -10.18    0.36    0.00   -9.82 6.035E+00

  10.540 26.094  8.20    0.56   -6.52    0.29    0.00   -6.23  0.917
   3.818  0.650  5.29    0.66   -9.40    0.35    0.00   -9.04 4.513E+00

  10.540 28.235  8.65    0.64   -5.84    0.30    0.00   -5.54  0.863
   3.449  0.650  5.54    0.75   -8.54    0.37    0.00   -8.17 3.336E+00

  10.540 30.844  9.13    0.76   -5.14    0.33    0.00   -4.81  0.817
   3.061  0.650  5.79    0.89   -7.66    0.41    0.00   -7.24 2.418E+00

  10.540 34.129  9.62    0.96   -4.51    0.40    0.00   -4.11  0.783
   2.651  0.650  6.06    1.13   -6.86    0.51    0.00   -6.35 1.717E+00

  10.540 38.467 10.15    1.31   -4.22    0.57    0.00   -3.64  0.770
   2.219  0.650  6.34    1.56   -6.49    0.73    0.00   -5.76 1.181E+00

  10.540 44.610 10.71    2.01   -5.61    1.02    0.00   -4.59  0.785
   1.763  0.650  6.64    2.45   -8.29    1.31    0.00   -6.98 7.752E-01

  10.540  5.735  1.03    8.04  -40.12   27.23    0.00  -12.89  3.399
   9.730  0.675  1.37   10.06  -44.61   26.84    0.00  -17.77 2.633E+04

  10.540  5.904  1.08    7.64  -38.45   25.63    0.00  -12.83  3.365
   9.685  0.675  1.40    9.57  -43.03   25.33    0.00  -17.70 2.142E+04

  10.540  6.078  1.14    7.26  -36.97   24.10    0.00  -12.87  3.330
   9.638  0.675  1.43    9.10  -41.61   23.90    0.00  -17.72 1.740E+04

  10.540  6.259  1.20    6.91  -35.45   22.69    0.00  -12.76  3.295
   9.589  0.675  1.46    8.66  -40.16   22.56    0.00  -17.60 1.410E+04

  10.540  6.445  1.27    6.52  -33.95   21.12    0.00  -12.83  3.251
   9.536  0.674  1.49    8.18  -38.72   21.07    0.00  -17.65 1.144E+04

  10.540  6.639  1.34    6.16  -32.43   19.69    0.00  -12.75  3.208
   9.481  0.674  1.53    7.73  -37.26   19.70    0.00  -17.56 9.261E+03

  10.540  6.839  1.41    5.78  -30.96   18.18    0.00  -12.78  3.158
   9.422  0.674  1.56    7.26  -35.83   18.24    0.00  -17.59 7.510E+03

  10.540  7.047  1.49    5.42  -29.68   16.78    0.00  -12.90  3.111
   9.361  0.674  1.60    6.81  -34.58   16.89    0.00  -17.69 6.093E+03

  10.540  7.263  1.57    5.05  -28.25   15.36    0.00  -12.89  3.058
   9.296  0.674  1.64    6.34  -33.20   15.51    0.00  -17.69 4.951E+03

  10.540  7.487  1.66    4.67  -27.01   13.94    0.00  -13.07  3.002
   9.227  0.673  1.69    5.87  -31.98   14.12    0.00  -17.86 4.035E+03

  10.540  7.720  1.75    4.31  -25.74   12.62    0.00  -13.12  2.947
   9.155  0.673  1.73    5.42  -30.75   12.83    0.00  -17.92 3.289E+03

  10.540  7.962  1.84    3.96  -24.57   11.36    0.00  -13.21  2.890
   9.079  0.673  1.78    4.98  -29.60   11.58    0.00  -18.02 2.685E+03

  10.540  8.214  1.95    3.61  -23.45   10.12    0.00  -13.32  2.828
   8.998  0.672  1.83    4.54  -28.49   10.36    0.00  -18.13 2.198E+03

  10.540  8.476  2.05    3.29  -22.43    9.04    0.00  -13.39  2.771
   8.914  0.673  1.88    4.14  -27.48    9.28    0.00  -18.20 1.797E+03

  10.540  8.750  2.16    2.97  -21.38    7.98    0.00  -13.40  2.707
   8.824  0.672  1.94    3.75  -26.43    8.22    0.00  -18.21 1.472E+03

  10.540  9.035  2.28    2.69  -20.53    7.04    0.00  -13.49  2.646
   8.730  0.672  1.99    3.39  -25.57    7.28    0.00  -18.29 1.205E+03

  10.540  9.333  2.41    2.43  -19.65    6.20    0.00  -13.45  2.584
   8.631  0.672  2.05    3.07  -24.67    6.43    0.00  -18.24 9.845E+02

  10.540  9.644  2.54    2.18  -18.77    5.43    0.00  -13.34  2.521
   8.526  0.672  2.12    2.76  -23.76    5.65    0.00  -18.11 8.036E+02

  10.540  9.970  2.68    1.96  -18.02    4.74    0.00  -13.28  2.456
   8.415  0.672  2.19    2.48  -22.97    4.95    0.00  -18.02 6.555E+02

  10.540 10.312  2.83    1.76  -17.28    4.13    0.00  -13.15  2.391
   8.298  0.672  2.26    2.23  -22.18    4.34    0.00  -17.85 5.329E+02

  10.540 10.671  2.98    1.58  -16.63    3.61    0.00  -13.03  2.327
   8.175  0.672  2.34    2.00  -21.47    3.80    0.00  -17.68 4.318E+02

  10.540 11.049  3.14    1.42  -15.91    3.14    0.00  -12.77  2.263
   8.045  0.671  2.42    1.80  -20.69    3.32    0.00  -17.37 3.485E+02

  10.540 11.446  3.32    1.28  -15.32    2.74    0.00  -12.58  2.199
   7.908  0.671  2.50    1.63  -20.03    2.91    0.00  -17.12 2.805E+02

  10.540 11.865  3.50    1.16  -14.70    2.39    0.00  -12.31  2.136
   7.764  0.671  2.59    1.47  -19.33    2.55    0.00  -16.78 2.246E+02

  10.540 12.309  3.69    1.05  -14.16    2.08    0.00  -12.07  2.073
   7.612  0.671  2.69    1.33  -18.71    2.23    0.00  -16.48 1.794E+02

  10.540 12.779  3.89    0.95  -13.67    1.81    0.00  -11.86  2.008
   7.451  0.671  2.79    1.20  -18.14    1.95    0.00  -16.19 1.430E+02

  10.540 13.278  4.10    0.86  -13.16    1.58    0.00  -11.59  1.944
   7.282  0.671  2.89    1.09  -17.54    1.70    0.00  -15.84 1.135E+02

  10.540 13.809  4.33    0.78  -12.65    1.37    0.00  -11.28  1.879
   7.103  0.671  3.00    0.99  -16.95    1.49    0.00  -15.46 8.996E+01

  10.540 14.377  4.56    0.71  -12.20    1.19    0.00  -11.02  1.812
   6.914  0.671  3.12    0.90  -16.42    1.30    0.00  -15.12 7.114E+01

  10.540 14.986  4.81    0.65  -11.77    1.03    0.00  -10.73  1.745
   6.715  0.671  3.24    0.83  -15.89    1.13    0.00  -14.76 5.612E+01

