                                           ************ internal ***************  +++++++ internal  + external ++++++++
    E        Ep      Th       s_born       s_rad        s_elas       s_dis        s_rad        s_elas       s_dis
   10.5400   7.6660   6.4620  0.14272E+05  0.14709E+05  0.38458E+00  0.14519E+05  0.14652E+05  0.37819E+00  0.14404E+05
   10.5400   7.5080   6.7061  0.11780E+05  0.12180E+05  0.34692E+00  0.12031E+05  0.12145E+05  0.34154E+00  0.11951E+05
   10.5400   7.3420   6.9650  0.96956E+04  0.10058E+05  0.31236E+00  0.99425E+04  0.10041E+05  0.30788E+00  0.98893E+04
   10.5400   7.1660   7.2405  0.79500E+04  0.82786E+04  0.28231E+00  0.81881E+04  0.82744E+04  0.27858E+00  0.81556E+04
   10.5400   6.9810   7.5343  0.64939E+04  0.67899E+04  0.25465E+00  0.67192E+04  0.67954E+04  0.25158E+00  0.67024E+04
   10.5400   6.7860   7.8487  0.52810E+04  0.55466E+04  0.22972E+00  0.54912E+04  0.55590E+04  0.22720E+00  0.54859E+04
   10.5400   6.5800   8.1863  0.42733E+04  0.45106E+04  0.20755E+00  0.44671E+04  0.45278E+04  0.20552E+00  0.44703E+04
   10.5400   6.3630   8.5502  0.34395E+04  0.36504E+04  0.18741E+00  0.36160E+04  0.36706E+04  0.18579E+00  0.36251E+04
   10.5400   6.1340   8.9443  0.27518E+04  0.29383E+04  0.16931E+00  0.29111E+04  0.29601E+04  0.16804E+00  0.29240E+04
   10.5400   5.8930   9.3731  0.21876E+04  0.23514E+04  0.15272E+00  0.23298E+04  0.23738E+04  0.15175E+00  0.23450E+04
   10.5400   5.6380   9.8424  0.17267E+04  0.18699E+04  0.13820E+00  0.18525E+04  0.18920E+04  0.13748E+00  0.18689E+04
   10.5400   5.3690  10.3594  0.13524E+04  0.14767E+04  0.12511E+00  0.14626E+04  0.14980E+04  0.12460E+00  0.14792E+04
   10.5400   5.0860  10.9333  0.10504E+04  0.11575E+04  0.11299E+00  0.11459E+04  0.11775E+04  0.11266E+00  0.11621E+04
   10.5400   4.7870  11.5759  0.80824E+03  0.89995E+03  0.10229E+00  0.89037E+03  0.91840E+03  0.10212E+00  0.90562E+03
   10.5400   4.4720  12.3031  0.61549E+03  0.69348E+03  0.92542E-01  0.68542E+03  0.71022E+03  0.92489E-01  0.69947E+03
   10.5400   4.1390  13.1367  0.46318E+03  0.52910E+03  0.84017E-01  0.52221E+03  0.54411E+03  0.84067E-01  0.53492E+03
   10.5400   3.7880  14.1068  0.34386E+03  0.39928E+03  0.76333E-01  0.39328E+03  0.41260E+03  0.76468E-01  0.40458E+03
   10.5400   3.4180  15.2581  0.25118E+03  0.29755E+03  0.69405E-01  0.29221E+03  0.30927E+03  0.69610E-01  0.30214E+03
   10.5400   3.0280  16.6585  0.17986E+03  0.21856E+03  0.63190E-01  0.21368E+03  0.22882E+03  0.63452E-01  0.22229E+03
   10.5400   2.6170  18.4191  0.12551E+03  0.15783E+03  0.57614E-01  0.15322E+03  0.16680E+03  0.57922E-01  0.16063E+03
   10.5400   2.1830  20.7361  0.84549E+02  0.11170E+03  0.52956E-01  0.10716E+03  0.11958E+03  0.53304E-01  0.11351E+03
   10.5400   1.7250  24.0009  0.54009E+02  0.77194E+02  0.49243E-01  0.72490E+02  0.84234E+02  0.49630E-01  0.77935E+02
   10.5400   1.2420  29.1501  0.31498E+02  0.51649E+02  0.46812E-01  0.46514E+02  0.58039E+02  0.47245E-01  0.51156E+02
   10.5400   0.7330  39.3274  0.15089E+02  0.32635E+02  0.48079E-01  0.26672E+02  0.38450E+02  0.48613E-01  0.30427E+02
   10.5400   0.1950  84.0121  0.32589E+01  0.12967E+02  0.10246E+00  0.79444E+01  0.16089E+02  0.11347E+00  0.92561E+01
   10.5400   7.9400   6.3492  0.16408E+05  0.16620E+05  0.16108E+00  0.16402E+05  0.16463E+05  0.15805E+00  0.16180E+05
   10.5400   7.7980   6.5803  0.13592E+05  0.13807E+05  0.14347E+00  0.13638E+05  0.13690E+05  0.14094E+00  0.13469E+05
   10.5400   7.6470   6.8244  0.11229E+05  0.11443E+05  0.12867E+00  0.11311E+05  0.11357E+05  0.12654E+00  0.11185E+05
   10.5400   7.4880   7.0829  0.92535E+04  0.94600E+04  0.11536E+00  0.93575E+04  0.93992E+04  0.11359E+00  0.92653E+04
   10.5400   7.3210   7.3572  0.76047E+04  0.78006E+04  0.10319E+00  0.77210E+04  0.77590E+04  0.10172E+00  0.76548E+04
   10.5400   7.1440   7.6491  0.62282E+04  0.64123E+04  0.92699E-01  0.63504E+04  0.63858E+04  0.91484E-01  0.63045E+04
   10.5400   6.9580   7.9606  0.50821E+04  0.52530E+04  0.83081E-01  0.52049E+04  0.52379E+04  0.82086E-01  0.51746E+04
   10.5400   6.7620   8.2940  0.41294E+04  0.42868E+04  0.74455E-01  0.42493E+04  0.42804E+04  0.73649E-01  0.42309E+04
   10.5400   6.5540   8.6522  0.33389E+04  0.34829E+04  0.67108E-01  0.34536E+04  0.34831E+04  0.66458E-01  0.34443E+04
   10.5400   6.3360   9.0386  0.26858E+04  0.28164E+04  0.60165E-01  0.27933E+04  0.28211E+04  0.59651E-01  0.27906E+04
