 ***Ebeam    Eprime  Theta     x        Q2      Sig_Born     Sig_Born_In  Sig_Born_QE  Sig_Rad      Sig_Rad_EL   Sig_Rad_QE   Sig_Rad_DIS  C_cor
   10.5400   6.0300   8.1075   0.1501   1.2705  0.19208E+05  0.19200E+05  0.74623E+01  0.21629E+05  0.35677E+01  0.35012E+03  0.21275E+05  0.10004E+01
   10.5400   5.7830   8.5033   0.1501   1.3401  0.15178E+05  0.15173E+05  0.52019E+01  0.17294E+05  0.32633E+01  0.28233E+03  0.17008E+05  0.10005E+01
   10.5400   5.5220   8.9375   0.1501   1.4133  0.11899E+05  0.11895E+05  0.35978E+01  0.13737E+05  0.29899E+01  0.22933E+03  0.13505E+05  0.10005E+01
   10.5400   5.2470   9.4174   0.1501   1.4907  0.92475E+04  0.92451E+04  0.24680E+01  0.10835E+05  0.27373E+01  0.18786E+03  0.10644E+05  0.10006E+01
   10.5400   4.9570   9.9519   0.1501   1.5723  0.71185E+04  0.71169E+04  0.16778E+01  0.84803E+04  0.25069E+01  0.15531E+03  0.83225E+04  0.10007E+01
   10.5400   4.6510  10.5531   0.1501   1.6583  0.54210E+04  0.54198E+04  0.11294E+01  0.65821E+04  0.22973E+01  0.12982E+03  0.64500E+04  0.10007E+01
   10.5400   4.3290  11.2369   0.1501   1.7494  0.40789E+04  0.40781E+04  0.75194E+00  0.50626E+04  0.21021E+01  0.10990E+03  0.49506E+04  0.10008E+01
   10.5400   3.9880  12.0254   0.1500   1.8448  0.30263E+04  0.30258E+04  0.49432E+00  0.38559E+04  0.19328E+01  0.94538E+02  0.37595E+04  0.10009E+01
   10.5400   3.6290  12.9503   0.1500   1.9458  0.22091E+04  0.22088E+04  0.32023E+00  0.29050E+04  0.17760E+01  0.82740E+02  0.28205E+04  0.10010E+01
   10.5400   3.2510  14.0586   0.1501   2.0527  0.15812E+04  0.15810E+04  0.20378E+00  0.21625E+04  0.16313E+01  0.73801E+02  0.20871E+04  0.10012E+01
   10.5400   2.8510  15.4240   0.1500   2.1645  0.11042E+04  0.11041E+04  0.12684E+00  0.15894E+04  0.15090E+01  0.67565E+02  0.15204E+04  0.10013E+01
   10.5400   2.4300  17.1709   0.1500   2.2832  0.74671E+03  0.74663E+03  0.76612E-01  0.11515E+04  0.13970E+01  0.63586E+02  0.10865E+04  0.10015E+01
   10.5400   1.9860  19.5292   0.1500   2.4084  0.48258E+03  0.48254E+03  0.44342E-01  0.82124E+03  0.13007E+01  0.61914E+02  0.75803E+03  0.10018E+01
   10.5400   1.5170  22.9885   0.1500   2.5396  0.29078E+03  0.29076E+03  0.24011E-01  0.57562E+03  0.12294E+01  0.62806E+02  0.51159E+03  0.10023E+01
   10.5400   1.0230  28.8638   0.1500   2.6790  0.15423E+03  0.15422E+03  0.11473E-01  0.39228E+03  0.11892E+01  0.66324E+02  0.32477E+03  0.10031E+01
   10.5400   0.5020  42.8753   0.1501   2.8272  0.59325E+02  0.59321E+02  0.39838E-02  0.23294E+03  0.13296E+01  0.68743E+02  0.16287E+03  0.10058E+01
   10.5400   7.3270   6.6099   0.1703   1.0267  0.57394E+05  0.57349E+05  0.44627E+02  0.59995E+05  0.22652E+01  0.10095E+04  0.58984E+05  0.10005E+01
   10.5400   7.1510   6.8719   0.1703   1.0829  0.46989E+05  0.46957E+05  0.32358E+02  0.49426E+05  0.20609E+01  0.79420E+03  0.48630E+05  0.10005E+01
   10.5400   6.9650   7.1514   0.1703   1.1422  0.38309E+05  0.38286E+05  0.23316E+02  0.40569E+05  0.18780E+01  0.62522E+03  0.39942E+05  0.10006E+01
   10.5400   6.7690   7.4505   0.1702   1.2047  0.31090E+05  0.31073E+05  0.16698E+02  0.33166E+05  0.17110E+01  0.49314E+03  0.32671E+05  0.10006E+01
