                                           ************ internal ***************  +++++++ internal  + external ++++++++
    E        Ep      Th       s_born       s_rad        s_elas       s_dis        s_rad        s_elas       s_dis
   10.5400   2.4300  17.1709  0.70931E+02  0.99159E+02  0.40565E+00  0.94177E+02  0.10444E+03  0.40697E+00  0.98463E+02
   10.5400   1.9860  19.5292  0.46088E+02  0.69643E+02  0.37899E+00  0.64788E+02  0.74183E+02  0.38049E+00  0.68355E+02
   10.5400   1.5170  22.9885  0.27957E+02  0.47777E+02  0.36035E+00  0.42845E+02  0.51713E+02  0.36228E+00  0.45785E+02
   10.5400   1.0230  28.8638  0.14959E+02  0.31589E+02  0.35708E+00  0.26357E+02  0.34996E+02  0.36187E+00  0.28690E+02
   10.5400   0.5020  42.8753  0.58264E+01  0.18182E+02  0.39688E+00  0.12611E+02  0.20829E+02  0.39959E+00  0.14061E+02
   10.5400   7.3270   6.6099  0.52749E+04  0.55569E+04  0.80275E+00  0.54822E+04  0.55737E+04  0.79649E+00  0.54850E+04
   10.5400   7.1510   6.8719  0.43299E+04  0.45789E+04  0.73148E+00  0.45202E+04  0.45960E+04  0.72624E+00  0.45262E+04
   10.5400   6.9650   7.1514  0.35389E+04  0.37584E+04  0.66736E+00  0.37123E+04  0.37756E+04  0.66300E+00  0.37206E+04
   10.5400   6.7690   7.4505  0.28789E+04  0.30720E+04  0.60882E+00  0.30356E+04  0.30888E+04  0.60522E+00  0.30453E+04
   10.5400   6.5620   7.7718  0.23296E+04  0.24991E+04  0.55585E+00  0.24704E+04  0.25152E+04  0.55292E+00  0.24808E+04
   10.5400   6.3440   8.1183  0.18745E+04  0.20228E+04  0.50719E+00  0.19999E+04  0.20380E+04  0.50483E+00  0.20107E+04
   10.5400   6.1140   8.4936  0.14989E+04  0.16281E+04  0.46295E+00  0.16099E+04  0.16424E+04  0.46109E+00  0.16206E+04
   10.5400   5.8710   8.9022  0.11904E+04  0.13025E+04  0.42302E+00  0.12878E+04  0.13157E+04  0.42159E+00  0.12981E+04
   10.5400   5.6150   9.3496  0.93847E+03  0.10352E+04  0.38636E+00  0.10233E+04  0.10473E+04  0.38530E+00  0.10330E+04
   10.5400   5.3450   9.8427  0.73392E+03  0.81694E+03  0.35297E+00  0.80727E+03  0.82785E+03  0.35222E+00  0.81622E+03
   10.5400   5.0600  10.3904  0.56888E+03  0.63976E+03  0.32274E+00  0.63178E+03  0.64953E+03  0.32226E+00  0.63994E+03
   10.5400   4.7600  11.0043  0.43667E+03  0.49682E+03  0.29479E+00  0.49017E+03  0.50548E+03  0.29454E+00  0.49748E+03
   10.5400   4.4430  11.6997  0.33152E+03  0.38229E+03  0.26980E+00  0.37666E+03  0.38991E+03  0.26974E+00  0.38314E+03
   10.5400   4.1090  12.4976  0.24859E+03  0.29121E+03  0.24694E+00  0.28638E+03  0.29786E+03  0.24705E+00  0.29205E+03
   10.5400   3.7570  13.4276  0.18374E+03  0.21935E+03  0.22613E+00  0.21513E+03  0.22512E+03  0.22637E+00  0.22005E+03
   10.5400   3.3850  14.5332  0.13350E+03  0.16316E+03  0.20784E+00  0.15940E+03  0.16814E+03  0.20820E+00  0.16363E+03
   10.5400   2.9930  15.8812  0.94972E+02  0.11964E+03  0.19134E+00  0.11621E+03  0.12394E+03  0.19180E+00  0.11981E+03
