                                           ************ internal ***************  +++++++ internal  + external ++++++++
    E        Ep      Th       s_born       s_rad        s_elas       s_dis        s_rad        s_elas       s_dis
   10.5400   1.9860  19.5292  0.87719E+03  0.12837E+04  0.18895E+01  0.12139E+04  0.14821E+04  0.19117E+01  0.13751E+04
   10.5400   1.5170  22.9885  0.52515E+03  0.86030E+03  0.17813E+01  0.78985E+03  0.10298E+04  0.18061E+01  0.92157E+03
   10.5400   1.0230  28.8638  0.27624E+03  0.55009E+03  0.17174E+01  0.47620E+03  0.69328E+03  0.17456E+01  0.57948E+03
   10.5400   0.5020  42.8753  0.10504E+03  0.30000E+03  0.18812E+01  0.22392E+03  0.40548E+03  0.19425E+01  0.28772E+03
   10.5400   7.3270   6.6099  0.10786E+06  0.11257E+06  0.33581E+01  0.11142E+06  0.11235E+06  0.32770E+01  0.11062E+06
   10.5400   7.1510   6.8719  0.88172E+05  0.92415E+05  0.30485E+01  0.91509E+05  0.92437E+05  0.29806E+01  0.91077E+05
   10.5400   6.9650   7.1514  0.71776E+05  0.75574E+05  0.27717E+01  0.74862E+05  0.75772E+05  0.27153E+01  0.74700E+05
   10.5400   6.7690   7.4505  0.58165E+05  0.61544E+05  0.25198E+01  0.60984E+05  0.61863E+05  0.24733E+01  0.61017E+05
   10.5400   6.5620   7.7718  0.46893E+05  0.49885E+05  0.22930E+01  0.49443E+05  0.50282E+05  0.22551E+01  0.49613E+05
   10.5400   6.3440   8.1183  0.37596E+05  0.40230E+05  0.20849E+01  0.39879E+05  0.40671E+05  0.20545E+01  0.40139E+05
   10.5400   6.1140   8.4936  0.29958E+05  0.32263E+05  0.18966E+01  0.31984E+05  0.32722E+05  0.18725E+01  0.32298E+05
   10.5400   5.8710   8.9022  0.23709E+05  0.25716E+05  0.17276E+01  0.25492E+05  0.26175E+05  0.17090E+01  0.25835E+05
   10.5400   5.6150   9.3496  0.18626E+05  0.20362E+05  0.15727E+01  0.20182E+05  0.20806E+05  0.15588E+01  0.20532E+05
   10.5400   5.3450   9.8427  0.14514E+05  0.16007E+05  0.14320E+01  0.15860E+05  0.16427E+05  0.14221E+01  0.16203E+05
   10.5400   5.0600  10.3904  0.11209E+05  0.12484E+05  0.13052E+01  0.12364E+05  0.12873E+05  0.12988E+01  0.12689E+05
   10.5400   4.7600  11.0043  0.85704E+04  0.96523E+04  0.11879E+01  0.95521E+04  0.10006E+05  0.11843E+01  0.98533E+04
   10.5400   4.4430  11.6997  0.64793E+04  0.73918E+04  0.10836E+01  0.73075E+04  0.77100E+04  0.10825E+01  0.75809E+04
   10.5400   4.1090  12.4976  0.48359E+04  0.56006E+04  0.98824E+00  0.55285E+04  0.58827E+04  0.98916E+00  0.57724E+04
   10.5400   3.7570  13.4276  0.35558E+04  0.41927E+04  0.90142E+00  0.41299E+04  0.44403E+04  0.90404E+00  0.43442E+04
   10.5400   3.3850  14.5332  0.25680E+04  0.30961E+04  0.82560E+00  0.30403E+04  0.33117E+04  0.82964E+00  0.32263E+04
   10.5400   2.9930  15.8812  0.18141E+04  0.22502E+04  0.75705E+00  0.21994E+04  0.24367E+04  0.76228E+00  0.23589E+04
   10.5400   2.5800  17.5813  0.12453E+04  0.16048E+04  0.69512E+00  0.15572E+04  0.17655E+04  0.70134E+00  0.16925E+04
   10.5400   2.1440  19.8289  0.82198E+03  0.11189E+04  0.64262E+00  0.10727E+04  0.12575E+04  0.64970E+00  0.11866E+04
   10.5400   1.6840  23.0183  0.51163E+03  0.75843E+03  0.59994E+00  0.71159E+03  0.87847E+03  0.60785E+00  0.80654E+03
   10.5400   1.1980  28.1120  0.28808E+03  0.49479E+03  0.57522E+00  0.44487E+03  0.59945E+03  0.58417E+00  0.52265E+03
   10.5400   0.6870  38.4765  0.13010E+03  0.29701E+03  0.58179E+00  0.24194E+03  0.38477E+03  0.59295E+00  0.29980E+03
   10.5400   0.1470  93.9802  0.21020E+02  0.92540E+02  0.46552E+01  0.54248E+02  0.14213E+03  0.83440E+01  0.75284E+02
   10.5400   7.6660   6.4620  0.12812E+06  0.13107E+06  0.15273E+01  0.12972E+06  0.12941E+06  0.14843E+01  0.12742E+06
   10.5400   7.5080   6.7061  0.10525E+06  0.10809E+06  0.13820E+01  0.10704E+06  0.10695E+06  0.13457E+01  0.10539E+06
   10.5400   7.3420   6.9650  0.86233E+05  0.88908E+05  0.12486E+01  0.88090E+05  0.88156E+05  0.12181E+01  0.86935E+05
   10.5400   7.1660   7.2405  0.70403E+05  0.72889E+05  0.11318E+01  0.72251E+05  0.72433E+05  0.11064E+01  0.71477E+05
   10.5400   6.9810   7.5343  0.57272E+05  0.59553E+05  0.10244E+01  0.59053E+05  0.59315E+05  0.10033E+01  0.58566E+05
   10.5400   6.7860   7.8487  0.46393E+05  0.48464E+05  0.92702E+00  0.48073E+05  0.48388E+05  0.90974E+00  0.47800E+05
   10.5400   6.5800   8.1863  0.37401E+05  0.39268E+05  0.84009E+00  0.38961E+05  0.39309E+05  0.82604E+00  0.38846E+05
   10.5400   6.3630   8.5502  0.29995E+05  0.31665E+05  0.76091E+00  0.31423E+05  0.31786E+05  0.74965E+00  0.31420E+05
   10.5400   6.1340   8.9443  0.23914E+05  0.25398E+05  0.68953E+00  0.25206E+05  0.25572E+05  0.68065E+00  0.25282E+05
   10.5400   5.8930   9.3731  0.18946E+05  0.20253E+05  0.62397E+00  0.20100E+05  0.20459E+05  0.61713E+00  0.20228E+05
   10.5400   5.6380   9.8424  0.14903E+05  0.16048E+05  0.56622E+00  0.15925E+05  0.16270E+05  0.56111E+00  0.16084E+05
   10.5400   5.3690  10.3594  0.11632E+05  0.12629E+05  0.51403E+00  0.12529E+05  0.12854E+05  0.51039E+00  0.12703E+05
   10.5400   5.0860  10.9333  0.90018E+04  0.98603E+04  0.46567E+00  0.97791E+04  0.10081E+05  0.46328E+00  0.99576E+04
   10.5400   4.7870  11.5759  0.69002E+04  0.76356E+04  0.42280E+00  0.75683E+04  0.78454E+04  0.42145E+00  0.77428E+04
   10.5400   4.4720  12.3031  0.52330E+04  0.58580E+04  0.38363E+00  0.58015E+04  0.60525E+04  0.38316E+00  0.59662E+04
   10.5400   4.1390  13.1367  0.39202E+04  0.44479E+04  0.34921E+00  0.43996E+04  0.46250E+04  0.34947E+00  0.45513E+04
